"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","133/3074","250/9370",0.532,1.62161353285621,6.96080130822695,1.30238622754252e-11,4.57137565867423e-09,2.50880715410822e-09,"6457/57403/10890/375/10096/83737/10097/378/51534/81873/7852/10092/3312/10093/5584/60682/1956/832/7879/10564/57132/50807/11059/5878/10254/8723/387/9135/8027/998/6642/3482/56904/10565/3310/23325/10617/10109/55737/10552/2348/5868/1175/5156/51324/11031/7037/100287171/51100/4218/10094/128866/27131/3949/830/382/8394/157/84612/5869/858/23111/8724/857/23327/6643/163/8766/51699/30846/4734/1213/408/3480/55048/25978/3799/2263/55040/377/5867/51510/3304/3303/10193/4087/58533/9897/9815/829/137492/55738/116987/2264/3133/26286/10015/3134/274/10095/84313/6714/3560/80223/30011/3561/7251/147179/22905/253725/387680/1601/5337/644150/2350/5371/64411/160/9265/7048/23362/3106/56288/7046/3107/7456/2261/8729/2869/84440/4193/8976/64750",133
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","92/3074","158/9370",0.582278481012658,1.77486967049076,6.86351255630915,3.30466163057987e-11,5.79968116166767e-09,3.18291093892692e-09,"9212/991/891/9133/4085/7272/699/10403/9232/890/113130/9319/1111/983/701/8318/10926/4171/4173/4175/26271/7043/5111/5527/57082/9088/7534/7533/7027/898/4172/10459/5591/5515/5885/9134/4176/23063/9700/25836/7531/2932/9184/10971/10393/1017/7529/5519/9587/4089/8379/9126/8454/6500/1022/8317/990/5001/8697/4616/996/8243/51433/10735/1028/23047/472/1875/546/5518/23244/29945/1019/1031/4087/4999/545/1021/7040/10274/25/8881/8555/595/5934/23383/5529/51434/7029/4193/7157/1026",92
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","95/3074","174/9370",0.545977011494253,1.66421750087871,6.17947598043128,1.91555067015966e-09,2.24119428408681e-07,1.22998516715515e-07,"23471/7494/5034/10802/596/6745/10808/7326/10130/6185/51128/3312/3326/55768/23190/3337/29927/51465/29979/5887/58505/1965/54431/10483/22926/7184/7322/7466/821/30001/7321/3310/51035/79139/10294/9601/8454/51726/6500/3301/5611/84061/55968/80267/9451/581/4287/1650/3703/11231/1603/55973/3320/811/3309/5886/23480/10277/7323/10299/9871/23193/7327/80331/1410/56681/201595/27248/10525/3304/3303/5601/6238/22872/10970/9373/6400/9532/267/26270/2923/8720/7415/55829/55176/9695/6747/4780/10427/55741/258010/573/51619/55757/26232",95
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","85/3074","155/9370",0.548387096774194,1.67156379205406,5.89076426250368,1.02939165620688e-08,9.03291178321535e-07,4.95733350225944e-07,"3113/3122/3126/3123/3127/3125/7058/3117/3118/4074/2212/9103/528/523/2209/3689/3119/29927/1536/7879/5879/203068/84790/3109/22925/948/5878/821/9550/1311/9341/10376/5868/4481/7037/3916/1520/533/51382/79659/527/3688/2215/2214/5869/11151/7280/347733/83547/811/3684/10381/9296/23480/64581/71/1778/8992/23545/23673/537/4360/10383/9554/9114/526/4688/7057/3133/55176/3920/3134/6890/1514/1535/1783/718/3106/4973/3107/51606/51143/338382/30835/113457",85
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","63/3074","106/9370",0.594339622641509,1.81163378794761,5.87191782309519,1.40096274174231e-08,9.83475844703103e-07,5.39739329976512e-07,"2064/5594/367/596/898/3326/9134/1956/51176/3479/80310/5295/2932/7184/5970/3551/1017/4893/2348/148327/5156/3845/1385/6934/4318/5604/2885/83439/3320/5290/207/6654/5328/3480/2263/5728/5170/90993/2346/6573/2950/4790/2119/6935/354/2308/2078/5154/4314/2260/1147/10488/595/8503/2350/10000/673/1950/6692/9586/4193/7157/1026",63
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","78/3074","142/9370",0.549295774647887,1.67433357464239,5.65758847250851,3.76481830015248e-08,2.2024187055892e-06,1.20870482268053e-06,"5175/657/2949/596/3326/4259/5879/6885/5295/5607/7184/387/7341/5970/3551/7295/6612/4208/5747/6613/4318/2941/6382/3320/858/5290/207/857/7422/6347/1728/71/1432/801/805/6416/9181/445/659/5601/658/387082/2946/808/2353/5603/2947/3383/4688/2944/92/1003/2950/4790/6714/5154/5600/1843/1147/1514/9446/1535/3162/4780/5562/8503/90/10000/8878/5881/1906/810/4257/7157/6383/5880/2939/2938",78
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","102/3074","200/9370",0.51,1.55455432661028,5.53911802977227,5.86347342214356e-08,2.94011310167484e-06,1.61355734774778e-06,"5594/7430/375/10096/7122/10972/10097/54205/3059/10802/2212/10061/81873/5861/10092/10093/149461/2597/114483834/10006/5879/203068/84790/6885/4629/387/998/5970/3551/5010/4671/5062/836/10109/10552/10376/55971/4646/581/4690/10094/4615/23118/382/3688/5781/7280/347733/10381/4430/7082/9368/9871/71/1432/9181/10163/4642/7009/8737/5601/2149/841/55930/2353/5603/10383/1365/8743/6093/100506658/4790/3071/1902/10095/10672/6714/2017/5063/29108/147179/5600/25/9073/644150/64005/1147/10427/8772/5058/4644/9265/840/1366/7456/4627/4645/1364/26999/10810/8976/113457",102
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","103/3074","204/9370",0.504901960784314,1.53901476010053,5.43866121364231,9.74492977789271e-08,4.17881001665615e-06,2.29336402173662e-06,"2099/2064/1278/5594/1277/7430/1634/3059/406991/3316/1956/5879/5329/2335/3481/3479/8322/5295/5500/387/998/2066/10451/5962/836/4893/2065/22808/5747/3845/5499/4318/3082/5604/4060/2247/4660/2885/6382/3688/5781/858/5290/207/857/7422/6654/5328/3708/3480/3710/71/8826/1432/287/84309/6774/4087/4233/5170/5603/960/1975/7040/6093/5727/4659/27250/2719/7057/8324/6714/2017/8323/1655/7078/5600/2549/2260/6198/117581/22800/1514/7074/595/8503/5058/818/10000/673/7976/3709/5578/817/3236/4193/7157/7474/6383/5567/7291/1026/8325",103
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","82/3074","154/9370",0.532467532467532,1.62303863995471,5.44716211381983,1.07148974786055e-07,4.17881001665615e-06,2.29336402173662e-06,"7450/2064/1278/2277/7148/7058/1277/1293/6696/2321/3679/5649/3689/55742/1956/5879/3384/131873/2335/3908/3479/1834/80310/5295/2932/55679/998/1311/255743/2200/3913/5747/3910/5156/9459/3082/3688/3987/5290/207/3672/7422/3684/83660/3480/63923/71/1282/1291/158326/4233/3696/1284/7040/3383/999/7057/3680/22801/3914/3909/6714/5154/2317/595/8503/3694/3371/718/3918/10979/10000/1288/5881/1950/3381/3683/5880/3655/3676/3691/8515",82
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","103/3074","205/9370",0.502439024390244,1.53150737102687,5.37633323222134,1.33483965945316e-07,4.6852872046806e-06,2.5713227124203e-06,"991/890/1111/983/5594/5902/7534/7533/2934/898/9134/5879/3190/1654/7874/5295/7531/387/998/5970/10971/3572/1017/7529/3716/6776/22938/8379/2965/836/5966/4893/9261/4067/148327/3845/1385/7188/2967/5366/27044/581/2885/1739/54145/85236/102724334/5290/28973/2959/9093/1108/6774/1019/6777/841/8339/1021/9114/8345/90993/5315/3017/10014/3249/2961/5610/3133/4790/8344/3134/7419/6714/2966/728340/8349/2960/3718/5922/8343/10488/4791/595/8503/10379/5934/3665/718/3106/3107/8346/6672/8363/8362/9586/730394/5423/4193/7157/8347/8365/5567/1026",103
